t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
2.260000000000000231e+00,4.982534565339289401e+00,4.982534565339289401e+00,7.769482181737409621e-02,2.852899664558750104e-02,1.746543466071059925e-02,2.852899664558750104e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000249e+00,4.983985468435983890e+00,4.983985468435983890e+00,7.254515483474327509e-02,2.619815199106589887e-02,1.601453156401611011e-02,2.619815199106589887e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000266e+00,4.985339324817701367e+00,4.985339324817701367e+00,6.769281908587136687e-02,2.402179734602416517e-02,1.466067518229863254e-02,2.402179734602416517e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.319999999999999840e+00,4.986601777586794348e+00,4.986601777586794348e+00,6.312263845462902367e-02,2.199101277344794880e-02,1.339822241320565155e-02,2.199101277344794880e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.339999999999999858e+00,4.987778179746217511e+00,4.987778179746217511e+00,5.882010797114697181e-02,2.009733361980847732e-02,1.222182025378248937e-02,2.009733361980847732e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.359999999999999876e+00,4.988873607150459577e+00,4.988873607150459577e+00,5.477137021209965012e-02,1.833273038067373406e-02,1.112639284954042296e-02,1.833273038067373406e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.379999999999999893e+00,4.989892870992825635e+00,4.989892870992825635e+00,5.096319211832074647e-02,1.668958927431063444e-02,1.010712900717436469e-02,1.668958927431063444e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e+00,4.990840529837976547e+00,4.990840529837976547e+00,4.738294225756482791e-02,1.516069351076154703e-02,9.159470162023453099e-03,1.516069351076154703e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.419999999999999929e+00,4.991720901209098393e+00,4.991720901209098393e+00,4.401856855611186586e-02,1.373920524303517965e-02,8.279098790901606719e-03,1.373920524303517965e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.439999999999999947e+00,4.992538072739480803e+00,4.992538072739480803e+00,4.085857651913592237e-02,1.241864818635241008e-02,7.461927260519196636e-03,1.241864818635241008e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.459999999999999964e+00,4.993295912898607192e+00,4.993295912898607192e+00,3.789200795630021101e-02,1.119289089077879495e-02,6.704087101392808279e-03,1.119289089077879495e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.479999999999999982e+00,4.993998081303124614e+00,4.993998081303124614e+00,3.510842022587910838e-02,1.005613065208921242e-02,6.001918696875385706e-03,1.005613065208921242e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,4.994648038623281217e+00,4.994648038623281217e+00,3.249786600782250678e-02,9.002878045313078559e-03,5.351961376718783470e-03,9.002878045313078559e-03,0.000000000000000000e+00,0.000000000000000000e+00
